country,week,cases_w,deaths_w,deaths_w_back2w,dcfr,ifr_low_w,ifr_med_w,ifr_high_w,det_frac_low,det_frac_med,det_frac_high,inf_death_low,inf_death_med,inf_death_high,inf_case_low,inf_case_med,inf_case_high
france,2020-08-02,7284.0,72.0,86.0,0.011806699615595826,0.005907319733074289,0.01032535193443179,0.019276698004139343,0.5003362434385247,0.8745332964000135,1.0,14558.209794959559,8329.013920892821,4461.344986653469,14558.209794959559,8329.013920892821,4461.344986653469
france,2020-08-09,10104.0,61.0,103.0,0.010193982581155978,0.005907319733074289,0.01032535193443179,0.019276698004139343,0.5794908600289574,1.0,1.0,17435.99545210273,9975.446905255356,5343.238763084969,17435.99545210273,9975.446905255356,5343.238763084969
france,2020-08-16,20586.0,86.0,97.0,0.0047119401535023805,0.007381776541533528,0.010872069555230382,0.017388136157454527,1.0,1.0,1.0,13140.468213069036,8921.94439220956,5578.5162435834045,13140.468213069034,8921.94439220956,5578.5162435834045
france,2020-08-23,24504.0,103.0,117.0,0.004774730656219393,0.007381776541533528,0.010872069555230382,0.017388136157454527,1.0,1.0,1.0,15849.84310236162,10761.520555551739,6728.7257783428695,15849.84310236162,10761.520555551739,6728.7257783428695
france,2020-08-30,35549.0,97.0,217.0,0.006104250471180624,0.008204534690583066,0.011803179425366501,0.017196790895179233,1.0,1.0,1.0,26448.788162120454,18384.876835273724,12618.633402167581,26448.788162120454,18384.876835273724,12618.633402167581
france,2020-09-06,46896.0,117.0,369.0,0.00786847492323439,0.008204534690583066,0.011803179425366501,0.017196790895179233,1.0,1.0,1.0,44975.1282572463,31262.762913437804,21457.491822119067,44975.128257246295,31262.762913437804,21457.491822119064
france,2020-09-13,56576.0,217.0,443.0,0.007830175339366516,0.008204534690583066,0.011803179425366501,0.017196790895179233,1.0,1.0,1.0,53994.530671978624,37532.260083070316,25760.620263411238,53994.530671978624,37532.260083070316,25760.620263411238
france,2020-09-20,71981.0,369.0,487.0,0.006765674275155944,0.008204534690583066,0.011803179425366501,0.017196790895179233,1.0,1.0,1.0,59357.418594251896,41260.06921095992,28319.237174449823,59357.418594251896,41260.069210959926,28319.237174449827
france,2020-09-27,85723.0,443.0,502.0,0.005856071299417892,0.008204534690583066,0.011803179425366501,0.017196790895179233,1.0,1.0,1.0,61185.67584048142,42530.91323183138,29191.492939576616,61185.67584048142,42530.91323183138,29191.492939576616
france,2020-10-04,81149.0,487.0,753.0,0.009279227100765258,0.008204534690583066,0.011803179425366501,0.017196790895179233,0.8841829822126498,1.0,1.0,91778.51376072213,63796.36984774707,43787.23940936492,91778.51376072213,63796.36984774706,43787.23940936492
france,2020-10-11,117006.0,502.0,1187.0,0.010144778900227339,0.009845744364567253,0.013292503666880428,0.017946693655983403,0.9705233067569975,1.0,1.0,120559.70133368092,89298.45195059276,66140.3165816148,120559.70133368093,89298.45195059276,66140.31658161478
